Nombre,Posición,Duración,Alineación,Evento,Jugada,Resultado
Acción de ataque (39),1122600,13600,Jugador_10 (ed);Jugador_5 (pi);Jugador_3 (c);Jugador_1 (li);Jugador_2 (ld),Acción de ataque,Jugada_18,Pérdida
Acción de ataque (21),1284640,13640,Jugador_10 (ed);Jugador_13 (ei);Jugador_9 (pi);Jugador_1 (ld);Jugador_3 (c);Jugador_7 (li),Acción de ataque,Jugada_69,Nada
Acción de ataque (43),5159640,11280,Jugador_10 (ed);Jugador_2 (ld);Jugador_9 (pi);Jugador_3 (c);Jugador_1 (li),Acción de ataque,Jugada_6,Gol
Acción de ataque (36),4663120,13600,Jugador_10 (ed);Jugador_2 (ld);Jugador_3 (c);Jugador_1 (li);Jugador_9 (pi),Acción de ataque,Jugada_30,Nada
Acción de ataque (37),4681320,4720,Jugador_10 (ed);Jugador_2 (ld);Jugador_3 (c);Jugador_1 (li);Jugador_9 (pi),Acción de ataque,Jugada_20,Gol
Acción de ataque (41),1289120,11320,Jugador_10 (ed);Jugador_1 (li);Jugador_3 (c);Jugador_2 (ld);Jugador_9 (pi),Acción de ataque,Jugada_69,Pérdida
Acción de ataque (58),1167400,7360,Jugador_10 (ed);Jugador_1 (ld);Jugador_3 (c);Jugador_9 (pi),Acción de ataque,Jugada_20,Nada
Acción de ataque (55),5422640,6800,Jugador_10 (ed);Jugador_3 (c);Jugador_14 (ld);Jugador_9 (pi);Jugador_1 (li),Acción de ataque,Jugada_27,Gol
Acción de ataque (6),448080,9360,Jugador_10 (ed);Jugador_3 (c);Jugador_7 (li);Jugador_2 (ld);Jugador_9 (pi),Acción de ataque,Jugada_52,Pérdida
Acción de ataque (40),1172680,10200,Jugador_10 (ed);Jugador_3 (c);Jugador_1 (li);Jugador_2 (ld);Jugador_9 (pi),Acción de ataque,Jugada_21,Pérdida
Acción de ataque (11),797320,12000,Jugador_10 (ed);Jugador_3 (c);Jugador_16 (li);Jugador_2 (ld);Jugador_9 (pi),Acción de ataque,Jugada_20,Pérdida
Acción de ataque (5),674160,5480,Jugador_5 (pi);Jugador_4 (ed);Jugador_13 (c);Jugador_2 (ld);Jugador_7 (li),Acción de ataque,Jugada_65,Pérdida
Acción de ataque (1),462560,12960,Jugador_5 (pi);Jugador_13 (c);Jugador_14 (ld);Jugador_7 (li),Acción de ataque,Jugada_13,Nada
Acción de ataque (6),712160,6000,Jugador_5 (pi);Jugador_13 (c);Jugador_2 (ld);Jugador_7 (li),Acción de ataque,Jugada_60,Pérdida
Acción de ataque (3),606960,11360,Jugador_5 (pi);Jugador_13 (c);Jugador_2 (ld);Jugador_7 (li),Acción de ataque,Jugada_22,Pérdida
Acción de ataque (30),3843720,14400,Jugador_5 (pi);Jugador_14 (ld);Jugador_10 (ed);Jugador_1 (li);Jugador_3 (c),Acción de ataque,Jugada_18,Gol
Acción de ataque (2),484720,6080,Jugador_5 (pi);Jugador_14 (ld);Jugador_13 (c);Jugador_7 (li),Acción de ataque,Jugada_40,Nada
Acción de ataque (29),3775280,11000,Jugador_5 (pi);Jugador_14 (ld);Jugador_15 (ei);Jugador_1 (li),Acción de ataque,Jugada_18,Pérdida
Acción de ataque (7),788840,8880,Jugador_5 (pi);Jugador_2 (ld);Jugador_13 (c);Jugador_7 (li),Acción de ataque,Jugada_5,Nada
Acción de ataque (11),979360,15600,Jugador_5 (pi);Jugador_7 (li);Jugador_3 (c);Jugador_14 (ld),Acción de ataque,Jugada_69,Gol
Acción de ataque (10),858720,9600,Jugador_5 (pi);Jugador_7 (li);Jugador_3 (c);Jugador_1 (ld),Acción de ataque,Jugada_20,Pérdida
Acción de ataque (9),838720,14800,Jugador_5 (pi);Jugador_7 (li);Jugador_3 (c);Jugador_1 (ld),Acción de ataque,Jugada_23,Nada
Acción de ataque (15),1314320,16640,Jugador_5 (pi);Jugador_1 (li);Jugador_2 (ld);Jugador_13 (c);Jugador_6 (ei),Acción de ataque,Jugada_19,Nada
Acción de ataque (26),2746400,9360,Jugador_5 (pi);Jugador_1 (li),Acción de ataque,Jugada_38,Gol
Acción de ataque (26),304280,6000,Jugador_5 (pi);Jugador_1 (c),Acción de ataque,Jugada_38,Nada
Acción de ataque (31),3978520,13600,Jugador_5 (pi);Jugador_3 (c);Jugador_14 (ld);Jugador_10 (ed);Jugador_1 (li),Acción de ataque,Jugada_18,Pérdida
Acción de ataque (28),3641360,6960,Jugador_5 (pi);Jugador_3 (c);Jugador_14 (ld);Jugador_1 (li),Acción de ataque,Jugada_20,Pérdida
Acción de ataque (32),4066080,16800,Jugador_5 (pi);Jugador_3 (c);Jugador_14 (ld);Jugador_1 (li),Acción de ataque,Jugada_21,Nada
Acción de ataque (27),3587640,17200,Jugador_5 (pi);Jugador_3 (c);Jugador_14 (ld);Jugador_1 (li),Acción de ataque,Jugada_69,Nada
Acción de ataque (33),4119280,12520,Jugador_5 (pi);Jugador_3 (c);Jugador_14 (ld);Jugador_15 (ei);Jugador_1 (li),Acción de ataque,Jugada_30,Gol
Acción de ataque (53),2099920,5960,Jugador_4 (ed);Jugador_14 (ld);Jugador_9 (pi),Acción de ataque,Jugada_38,Nada
Acción de ataque (40),3393640,13840,Jugador_4 (ed);Jugador_7 (li);Jugador_1 (c);Jugador_2 (ld);Jugador_9 (pi),Acción de ataque,Jugada_29,Nada
Acción de ataque (17),1365600,13440,Jugador_4 (ed);Jugador_1 (li);Jugador_3 (c);Jugador_2 (ld);Jugador_9 (pi),Acción de ataque,Jugada_73,Pérdida
Acción de ataque (16),1345520,13880,Jugador_4 (ed);Jugador_1 (li);Jugador_3 (c);Jugador_2 (ld);Jugador_9 (pi),Acción de ataque,Jugada_43,Nada
Acción de ataque (38),1117520,16000,Jugador_4 (ed);Jugador_1 (c);Jugador_7 (li);Jugador_9 (pi);Jugador_2 (ld),Acción de ataque,Jugada_30,Gol
Acción de ataque (9),709680,15240,Jugador_4 (ed);Jugador_3 (c);Jugador_7 (li);Jugador_2 (ld);Jugador_9 (pi),Acción de ataque,Jugada_21,Gol
Acción de ataque (37),1740320,9160,Jugador_4 (ed),Acción de ataque,Jugada_78,Gol
Acción de ataque (42),5078520,12160,Jugador_13 (li);Jugador_2 (ld);Jugador_9 (pi);Jugador_3 (c),Acción de ataque,Jugada_70,Gol
Acción de ataque (36),969840,13320,Jugador_13 (ei);Jugador_9 (pi);Jugador_1 (c);Jugador_7 (li);Jugador_14 (ld),Acción de ataque,Jugada_6,Gol
Acción de ataque (17),1235800,8440,Jugador_13 (ei);Jugador_7 (li);Jugador_3 (c);Jugador_2 (ld);Jugador_9 (pi),Acción de ataque,Jugada_73,Gol
